===============================================================================
 [ 종합 RMSE 비교 요약: 거리별 (m) ]
===============================================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
-------------------------------------------------------------------------------------------------------------------------------------------------
       0 | 2.1401           | 0.9420           | 14.7471          | 27.5364          | 27.7974          | 32.8418
      10 | 1.0779           | 0.9471           | 15.0490          | 26.6955          | 26.9472          | 32.5715
      20 | 0.9003           | 0.9670           | 14.1237          | 25.7717          | 26.0050          | 31.6456
      30 | 0.8203           | 0.9982           | 13.0629          | 24.9848          | 25.1908          | 30.4558
      40 | 0.7701           | 1.0451           | 11.9150          | 23.9633          | 24.1369          | 29.0212
      50 | 0.7313           | 1.1035           | 10.8011          | 22.7048          | 22.8518          | 27.6459
      60 | 0.6985           | 1.1709           | 9.7351           | 21.7000          | 21.8245          | 26.1099
      70 | 0.6787           | 1.2460           | 8.6953           | 20.6004          | 20.7054          | 24.7386
      80 | 0.6670           | 1.3211           | 7.8160           | 19.6536          | 19.7435          | 23.5360
      90 | 0.6552           | 1.4145           | 6.9120           | 18.7550          | 18.8332          | 22.1393
     100 | 0.6505           | 1.5107           | 6.1414           | 17.9406          | 18.0075          | 21.1297
     110 | 0.6535           | 1.6090           | 5.4546           | 17.2823          | 17.3402          | 20.1482
     120 | 0.6555           | 1.7107           | 4.8185           | 16.6600          | 16.7134          | 19.1849
     130 | 0.6645           | 1.8261           | 4.2778           | 16.0283          | 16.0771          | 18.4674
     140 | 0.6747           | 1.9252           | 3.8659           | 15.6312          | 15.6773          | 17.8828
     150 | 0.6867           | 2.0327           | 3.5464           | 15.2706          | 15.3143          | 17.2649
     160 | 0.7018           | 2.1516           | 3.2476           | 14.9572          | 15.0001          | 16.9393
     170 | 0.7190           | 2.2674           | 3.0477           | 14.6230          | 14.6646          | 16.5047
     180 | 0.7359           | 2.3846           | 2.8873           | 14.3536          | 14.3952          | 16.2063
     190 | 0.7529           | 2.4859           | 2.8171           | 14.2266          | 14.2690          | 16.1074
     200 | 0.7775           | 2.6037           | 2.7483           | 13.9245          | 13.9683          | 15.8279
     210 | 0.7967           | 2.7238           | 2.7002           | 13.7409          | 13.7852          | 15.5774
     220 | 0.8184           | 2.8428           | 2.6868           | 13.5826          | 13.6271          | 15.5024
     230 | 0.8446           | 2.9682           | 2.6674           | 13.3289          | 13.3744          | 15.3748
     240 | 0.8691           | 3.0841           | 2.6896           | 13.1692          | 13.2161          | 15.2870
     250 | 0.8916           | 3.1952           | 2.6897           | 12.9560          | 13.0029          | 15.0654
     260 | 0.9182           | 3.3227           | 2.6904           | 12.7303          | 12.7767          | 15.0162
     270 | 0.9414           | 3.4380           | 2.7041           | 12.6556          | 12.7047          | 14.9351
     280 | 0.9712           | 3.5632           | 2.7002           | 12.3166          | 12.3655          | 14.5847
     290 | 0.9957           | 3.6807           | 2.7249           | 12.1824          | 12.2322          | 14.7419
     300 | 1.0217           | 3.7964           | 2.7443           | 12.0517          | 12.1030          | 14.7923
     310 | 1.0478           | 3.9148           | 2.7788           | 12.0047          | 12.0575          | 14.7712
     320 | 1.0736           | 4.0364           | 2.7808           | 11.8294          | 11.8797          | 14.5985
     330 | 1.1021           | 4.1464           | 2.8080           | 11.7774          | 11.8307          | 14.7455
     340 | 1.1320           | 4.2788           | 2.8457           | 11.7296          | 11.7835          | 14.7879
     350 | 1.1639           | 4.4007           | 2.8930           | 11.6486          | 11.7047          | 14.9149
     360 | 1.1896           | 4.5190           | 2.9373           | 11.7646          | 11.8209          | 15.1765
     370 | 1.2331           | 4.6523           | 3.0596           | 11.9538          | 12.0122          | 15.5982
     380 | 1.2620           | 4.7577           | 3.0937           | 12.0008          | 12.0575          | 15.7836
     390 | 1.2997           | 4.8795           | 3.2395           | 12.4540          | 12.5124          | 16.5499
     400 | 1.3468           | 4.9988           | 3.3374           | 12.7396          | 12.7997          | 17.0268
     410 | 1.4019           | 5.1312           | 3.5314           | 13.3106          | 13.3726          | 17.9706
     420 | 1.4469           | 5.2541           | 3.6154           | 13.6824          | 13.7457          | 18.6222
     430 | 1.5143           | 5.3623           | 3.8893           | 14.5899          | 14.6571          | 19.8785
     440 | 1.5935           | 5.4990           | 4.1087           | 15.3584          | 15.4274          | 21.0543
     450 | 1.7145           | 5.6204           | 4.4035           | 16.4446          | 16.5150          | 22.6011
     460 | 1.7770           | 5.7293           | 4.5198           | 17.1026          | 17.1760          | 23.6112
     470 | 1.9342           | 5.8585           | 4.9763           | 18.6795          | 18.7569          | 25.6228
     480 | 2.0977           | 5.9806           | 5.3450           | 20.0612          | 20.1380          | 27.8253
     490 | 2.2720           | 6.1084           | 5.6949           | 21.5507          | 21.6321          | 29.8440
     500 | 2.4434           | 6.2138           | 6.0367           | 22.8719          | 22.9560          | 31.6406
     510 | 2.7463           | 6.3460           | 6.5429           | 24.7861          | 24.8739          | 34.2934
     520 | 3.0491           | 6.4689           | 7.0590           | 26.8326          | 26.9240          | 36.9047
     530 | 3.5160           | 6.5949           | 7.6965           | 29.0394          | 29.1347          | 40.0432
     540 | 3.8864           | 6.7076           | 8.3094           | 31.1805          | 31.2821          | 42.8363
     550 | 4.3960           | 6.8283           | 9.0364           | 33.6054          | 33.7091          | 45.8410
     560 | 4.8931           | 6.9497           | 9.6185           | 35.6077          | 35.7143          | 48.5533
     570 | 5.7552           | 7.0830           | 10.5914          | 38.7940          | 38.9078          | 52.4245
     580 | 6.6209           | 7.2003           | 11.5518          | 41.7906          | 41.9134          | 56.1566
     590 | 7.8114           | 7.3314           | 12.5505          | 45.3316          | 45.4586          | 60.5563
     600 | 8.7971           | 7.4533           | 13.5402          | 47.6044          | 47.7334          | 63.4988


===============================================================================
 [ 종합 RMSE 비교 요약: TDOA 평균 바이어스별 (us) ]
===============================================================================
Bias(us)   | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
-------------------------------------------------------------------------------------------------------------------------------------------------
       0 | 1.3494           | 5.0026           | 3.3843           | 12.7567          | 12.8194          | 17.0552
       1 | 1.3427           | 5.0070           | 3.3467           | 12.6837          | 12.7449          | 16.9886
       2 | 1.3451           | 5.0053           | 3.3603           | 12.8322          | 12.8924          | 17.2130
       3 | 1.3477           | 5.0040           | 3.3717           | 12.8384          | 12.9022          | 17.1824
       4 | 1.3456           | 5.0012           | 3.3242           | 12.6185          | 12.6798          | 16.7695
       5 | 1.3465           | 5.0056           | 3.3725           | 12.7728          | 12.8341          | 17.0609
       6 | 1.3484           | 5.0053           | 3.3441           | 12.7647          | 12.8255          | 17.0645
